Type	Time	Value	Data center
rtb.requests	1561485960	9706.938889	dc=I
rtb.requests	1561486320	9807.069444	dc=I
rtb.requests	1561486680	9556.630556	dc=I
rtb.requests	1561487040	9448.583333	dc=I
rtb.requests	1561487400	8763.883333	dc=I
rtb.requests	1561487760	8664.619444	dc=I
rtb.requests	1561488120	7911.533333	dc=I
rtb.requests	1561488480	7721.391667	dc=I
rtb.requests	1561488840	7554.458333	dc=I
rtb.requests	1561489200	7281.063889	dc=I
rtb.requests	1561489560	6901.819444	dc=I
rtb.requests	1561489920	6899.2	dc=I
rtb.requests	1561490280	6868.358333	dc=I
rtb.requests	1561490640	6563.697222	dc=I
rtb.requests	1561491000	6419.041667	dc=I
rtb.requests	1561491360	6288.952778	dc=I
rtb.requests	1561491720	6103.808333	dc=I
rtb.requests	1561492080	6035.083333	dc=I
rtb.requests	1561492440	5920.644444	dc=I
rtb.requests	1561492800	5785.591667	dc=I
rtb.requests	1561493160	5686.780556	dc=I
rtb.requests	1561493520	5914.069444	dc=I
rtb.requests	1561493880	6152.122222	dc=I
rtb.requests	1561494240	6065.222222	dc=I
rtb.requests	1561494600	5975.783333	dc=I
rtb.requests	1561494960	5999.238889	dc=I
rtb.requests	1561495320	5965.911111	dc=I
rtb.requests	1561495680	5988.444444	dc=I
rtb.requests	1561496040	6347.627778	dc=I
rtb.requests	1561496400	6199.722222	dc=I
rtb.requests	1561496760	6428.463889	dc=I
rtb.requests	1561497120	6593.247222	dc=I
rtb.requests	1561497480	6955.986111	dc=I
rtb.requests	1561497840	7399.213889	dc=I
rtb.requests	1561498200	7813.277778	dc=I
rtb.requests	1561498560	7805.326389	dc=I
rtb.requests	1561498920	8625.905556	dc=I
rtb.requests	1561499280	8620.055556	dc=I
rtb.requests	1561499640	9054.225	dc=I
rtb.requests	1561500000	9328.816667	dc=I
rtb.requests	1561500360	9754.566667	dc=I
rtb.requests	1561500720	9710.177778	dc=I
rtb.requests	1561501080	10654.91111	dc=I
rtb.requests	1561501440	11505.13333	dc=I
rtb.requests	1561501800	11624.40278	dc=I
rtb.requests	1561502160	12550.38889	dc=I
rtb.requests	1561502520	12990.21667	dc=I
rtb.requests	1561502880	13832.33611	dc=I
rtb.requests	1561503240	15059.75833	dc=I
rtb.requests	1561503600	15787.75833	dc=I
rtb.requests	1561503960	16022.39167	dc=I
rtb.requests	1561504320	16582.08889	dc=I
rtb.requests	1561504680	17465.94722	dc=I
rtb.requests	1561505040	18585.26667	dc=I
rtb.requests	1561505400	19512.43056	dc=I
rtb.requests	1561505760	18825.54722	dc=I
rtb.requests	1561506120	20813.39444	dc=I
rtb.requests	1561506480	21485.90556	dc=I
rtb.requests	1561506840	22513.03333	dc=I
rtb.requests	1561507200	23746.23333	dc=I
rtb.requests	1561507560	23924.86944	dc=I
rtb.requests	1561507920	24422.02222	dc=I
rtb.requests	1561508280	26567.46667	dc=I
rtb.requests	1561508640	27883.63889	dc=I
rtb.requests	1561509000	27996.88611	dc=I
rtb.requests	1561509360	28030.93611	dc=I
rtb.requests	1561509720	29344.38889	dc=I
rtb.requests	1561510080	30884.41944	dc=I
rtb.requests	1561510440	30565.3	dc=I
rtb.requests	1561510800	31242.64167	dc=I
rtb.requests	1561511160	32149.87778	dc=I
rtb.requests	1561511520	34728.51389	dc=I
rtb.requests	1561511880	35101.59167	dc=I
rtb.requests	1561512240	36350.43056	dc=I
rtb.requests	1561512600	37109.26944	dc=I
rtb.requests	1561512960	35560.89722	dc=I
rtb.requests	1561513320	37659.96667	dc=I
rtb.requests	1561513680	-238156.0083	dc=I
rtb.requests	1561514040	36644.55833	dc=I
rtb.requests	1561514400	35913.14537	dc=I
rtb.requests	1561514760	38327.06736	dc=I
rtb.requests	1561515120	39512.69167	dc=I
rtb.requests	1561515480	40598.49722	dc=I
rtb.requests	1561515840	-1136099.312	dc=I
rtb.requests	1561516200	52500.11944	dc=I
rtb.requests	1561516560	51650.84444	dc=I
rtb.requests	1561516920	49264.91431	dc=I
rtb.requests	1561517280	52577.11667	dc=I
rtb.requests	1561517640	52928.97222	dc=I
rtb.requests	1561518000	52655.20556	dc=I
rtb.requests	1561518360	51090.82222	dc=I
rtb.requests	1561518720	52577.97778	dc=I
rtb.requests	1561519080	54973.96667	dc=I
rtb.requests	1561519440	52283.68889	dc=I
rtb.requests	1561519800	53910.325	dc=I
rtb.requests	1561520160	53117.14444	dc=I
rtb.requests	1561520520	54781.41389	dc=I
